epoch,train_loss,val_loss,val_mrr10,lr,timestamp
1,2.806,1.39045,0.5359,2.100000e-03,2026-09-17T10:41:14.691839+00:00
2,0.79644,0.97523,0.6562,2.989858e-03,2026-09-17T10:41:42.483327+00:00
3,0.29097,0.94125,0.6676,2.909539e-03,2026-09-17T10:42:11.290516+00:00
4,0.18192,1.06633,0.6771,2.753232e-03,2026-09-17T10:42:40.543335+00:00
5,0.1318,1.08191,0.6904,2.529362e-03,2026-09-17T10:43:12.299250+00:00
6,0.08654,0.99895,0.7002,2.250000e-03,2026-09-17T10:44:47.586960+00:00
7,0.05261,0.93887,0.7156,1.930205e-03,2026-09-17T10:47:12.484516+00:00
8,0.04391,0.91916,0.7308,1.587217e-03,2026-09-17T10:49:45.191965+00:00
9,0.03006,0.9228,0.7485,1.239528e-03,2026-09-17T10:52:39.803404+00:00
10,0.02647,0.89336,0.754,9.058804e-04,2026-09-17T10:55:46.394819+00:00
11,0.02099,0.8814,0.7496,6.042621e-04,2026-09-17T10:58:51.095810+00:00
12,0.02011,0.87983,0.7549,3.509333e-04,2026-09-17T11:01:56.909582+00:00
13,0.01724,0.86386,0.7679,1.595510e-04,2026-09-17T11:05:04.178035+00:00
14,0.02009,0.85896,0.7668,4.043269e-05,2026-09-17T11:08:13.312034+00:00
15,0.01914,0.85812,0.767,0.000000e+00,2026-09-17T11:13:17.177261+00:00
