epoch,train_loss,val_loss,val_mrr10,learning_rate,time_seconds
1,0.9558,1.4314,0.7634,0.0009890738003669028,0.38
2,0.2877,1.3683,0.7432,0.0009567727288213002,0.41
3,0.1512,1.2569,0.7597,0.0009045084971874736,0.4
4,0.0972,1.1763,0.7795,0.000834565303179429,0.37
5,0.0683,1.1549,0.7594,0.0007499999999999998,0.36
6,0.0526,1.1027,0.783,0.0006545084971874734,0.34
7,0.0494,1.1021,0.7744,0.0005522642316338267,0.35
8,0.0397,1.0735,0.7662,0.00044773576836617336,0.42
9,0.0379,1.0419,0.7769,0.0003454915028125263,0.4
10,0.029,1.0327,0.7842,0.00025,0.36
11,0.0265,0.9995,0.7799,0.00016543469682057076,0.37
12,0.0246,0.9992,0.7865,9.549150281252634e-05,0.36
13,0.022,1.0081,0.7894,4.322727117869964e-05,0.37
14,0.0253,1.0036,0.7867,1.0926199633097158e-05,0.35
15,0.0218,1.0026,0.786,0.0,0.39
